ID_LIEU,CODE_POSTAL,VILLE,DEPARTEMENT,REGION,PAYS,LATITUDE,LONGITUDE
157,1280,Prévessin-Moëns,Aveyron,Occitanie,France,46.26005159509202,6.07310380368098
158,1290,Pont-de-Veyle,Aveyron,Occitanie,France,46.2633027631579,4.88311684210526
159,1290,Crottet,Aveyron,Occitanie,France,46.27717200000001,4.892867
160,1290,Grièges,Aveyron,Occitanie,France,46.2638134299517,4.85315135265701
161,1290,Laiz,Aveyron,Occitanie,France,46.24715602649007,4.89947013245033
162,1290,Biziat,Aveyron,Occitanie,France,46.22891999999998,4.94452755725191
163,1290,Cruzilles-lès-Mépillat,Aveyron,Occitanie,France,46.22142923076922,4.87565636363636
164,1290,Cormoranche-sur-Saône,Aveyron,Occitanie,France,46.23802942622952,4.83493327868852
165,1290,Saint-André-d\'Huiriat,Aveyron,Occitanie,France,46.21086023529411,4.90521682352941
166,1290,Bey,Aveyron,Occitanie,France,46.21790654761904,4.84537107142857
167,1290,Saint-Jean-sur-Veyle,Aveyron,Occitanie,France,46.26549675,4.926397625
168,1300,Colomieu,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.7385002857143,5.62655904761905
169,1300,Groslée-Saint-Benoit,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.7015115,5.5804025
170,1300,Ambléon,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.74642690476188,5.60249178571429
171,1300,Peyrieu,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.67928776470588,5.67848270588235
172,1300,Brens,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.71647800000001,5.69520114285714
173,1300,Arboys en Bugey,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.71719158301153,5.64452416988417
174,1300,Brégnier-Cordon,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.64255796296295,5.62189111111111
175,1300,Magnieu,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.77925272727274,5.7123558677686
176,1300,Cuzieu,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.81885268817203,5.6798859139785
177,1300,Izieu,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.65365888888888,5.63921824074074
178,1300,Virignin,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.72840221153846,5.71219442307692
179,1300,Contrevoz,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.8030023923445,5.62114014354067
180,1300,Andert-et-Condon,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.78647100671141,5.65744181208053
181,1300,Saint-Germain-les-Paroisses,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.7657465034965,5.61959426573426
182,1300,Murs-et-Gélignieux,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.64198289156627,5.65406421686747
183,1300,Massignieu-de-Rives,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.75421040816327,5.75566479591837
184,1300,Chazey-Bons,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.802649,5.681342
185,1300,Conzieu,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.72786710526314,5.60631986842105
186,1300,Parves et Nattages,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.73542168067225,5.74563848739496
187,1300,Prémeyzel,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.68328398373986,5.64482243902439
188,1300,Saint-Champ,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.78456185185185,5.72885061728395
189,1300,Marignieu,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.80128434343436,5.71656616161616
190,1300,Belley,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.74780620192306,5.68156192307692
191,1310,Buellas,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.21154990196077,5.14509470588235
192,1310,Montcet,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.21990045161292,5.11231393548387
193,1310,Saint-Martin-le-Châtel,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.28954696428571,5.12484839285714
194,1310,Polliat,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.24678340579711,5.1373959057971
195,1310,Saint-Rémy,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.18272301587302,5.16711484126984
196,1310,Confrançon,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.2677990625,5.0631065
197,1310,Montracol,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.18570020408164,5.11936010204082
198,1310,Curtafond,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.27367814207651,5.10371704918033
199,1320,Châtillon-la-Palud,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.97394805555553,5.23855381944444
200,1320,Chalamont,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.00263151260502,5.17399260504202
201,1320,Saint-Nizier-le-Désert,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.05662191256829,5.14483453551913
202,1320,Crans,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.96586639024392,5.19331107317073
203,1320,Châtenay,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.02704062015503,5.20634868217054
204,1320,Villette-sur-Ain,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.01374768292683,5.25179445121951
205,1330,Lapeyrouse,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,45.98797165217393,4.97715956521739
206,1330,Ambérieux-en-Dombes,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.00012039215686,4.9106016993464
207,1330,Le Plantay,Bouches-du-Rhône,Provence-Alpes-Côte d\'Azur,France,46.02320455782313,5.09323210884354
