,code,libelle,codePostal,codeDepartement
5957,56210,ST CARADEC TREGOMEL,56540,56
5958,01378,ST MAURICE DE GOURDANS,01800,01
5959,26080,CHASTEL ARNAUD,26340,26
5960,02484,MEZY MOULINS,02650,02
5961,25404,MONTMAHOUX,25270,25
5962,76240,EPREVILLE,76400,76
5963,17438,TANZAC,17260,17
5964,87075,ISLE,87170,87
5965,36007,ARGY,36500,36
5966,14714,LE TRONQUAY,14490,14
5967,03149,LOUCHY MONTFAND,03500,03
5968,63327,ST BONNET PRES RIOM,63200,63
5969,24501,ST SEURIN DE PRATS,24230,24
5970,66126,OMS,66400,66
5971,50643,VIRANDEVILLE,50690,50
5972,08206,HAM LES MOINES,08090,08
5973,54103,BRUVILLE,54800,54
5974,55341,MOIREY FLABAS CREPION,55150,55
5975,21083,BLANOT,21430,21
5976,55562,VILLERS LE SEC,55500,55
5977,2A189,OLMETO,20113,2A
5978,35216,PARTHENAY DE BRETAGNE,35850,35
5979,42083,DARGOIRE,42800,42
5980,05182,VILLAR LOUBIERE,05800,05
5981,18226,ST MICHEL DE VOLANGIS,18390,18
5982,03211,PREMILHAT,03410,03
5983,89150,EGLENY,89240,89
5984,41138,MESLAY,41100,41
5985,70494,SORNAY,70150,70
5986,17180,GOURVILLETTE,17490,17
5987,21498,POSANGES,21350,21
5988,24312,SANILHAC,24660,24
5989,76524,REUVILLE,76560,76
5990,50268,LESTRE,50310,50
5991,76141,BREAUTE,76110,76
5992,91244,FONTENAY LE VICOMTE,91540,91
5993,73182,MOUXY,73100,73
5994,88273,LONGCHAMP,88000,88
5995,33082,CADILLAC EN FRONSADAIS,33240,33
5996,07083,DUNIERE SUR EYRIEUX,07360,07
5997,52322,MEURES,52310,52
5998,57074,BETTVILLER,57410,57
5999,25377,MESANDANS,25680,25
6000,78569,STE MESME,78730,78
6001,60396,MERY LA BATAILLE,60420,60
6002,60589,ST MAXIMIN,60740,60
6003,65082,BERBERUST LIAS,65100,65
6004,45010,ASCOUX,45300,45
6005,50283,LA LUZERNE,50680,50
6006,80044,AUTHIEULE,80600,80
6007,29071,GUILLIGOMARC H,29300,29
6008,28396,TRIZAY LES BONNEVAL,28800,28
6009,46333,VIDAILLAC,46260,46
6010,77533,VULAINES SUR SEINE,77870,77
6011,37183,PERRUSSON,37600,37
6012,62734,SAILLY EN OSTREVENT,62490,62
6013,49007,ANGERS,49100,49
6014,54293,LANDECOURT,54360,54
6015,32394,ST MEDARD,32300,32
6016,22184,PLEMY,22150,22
6017,56082,HELLEAN,56120,56
6018,85211,STE FLAIVE DES LOUPS,85150,85
6019,76130,BOUELLES,76270,76
6020,84045,FAUCON,84110,84
6021,18266,TOUCHAY,18160,18
6022,09118,ESPLAS DE SEROU,09420,09
6023,50553,ST SENIER DE BEUVRON,50240,50
6024,11135,LA FAJOLLE,11140,11
6025,47134,LANNES,47170,47
6026,80192,CHIPILLY,80800,80
6027,59002,ABSCON,59215,59
6028,87085,LIMOGES,87000,87
6029,2B332,URTACA,20218,2B
6030,28162,FRESNAY LE COMTE,28360,28
6031,64079,AURIONS IDERNES,64350,64
6032,72104,COURGAINS,72260,72
6033,56067,GRAND CHAMP,56390,56
6034,16120,DIRAC,16410,16
6035,42077,CROIZET SUR GAND,42540,42
6036,80110,BOISMONT,80230,80
6037,31393,MOURVILLES HAUTES,31540,31
6038,82163,ST JEAN DU BOUZET,82120,82
6039,33378,ST AVIT ST NAZAIRE,33220,33
6040,45328,TREILLES EN GATINAIS,45490,45
6041,58267,ST SAULGE,58330,58
6042,71570,VERJUX,71590,71
6043,69090,FRONTENAS,69620,69
6044,70133,CHARGEY LES PORT,70170,70
6045,64416,NAVARRENX,64190,64
6046,76391,LA LONDE,76500,76
6047,72136,FONTENAY SUR VEGRE,72350,72
6048,02623,PRISCES,02140,02
6049,69127,MARCY L ETOILE,69280,69
6050,46226,PRENDEIGNES,46270,46
6051,71328,NANTON,71240,71
6052,16152,GIMEUX,16130,16
6053,07313,SERRIERES,07340,07
6054,80349,FRANSURES,80160,80
6055,95229,EZANVILLE,95460,95
6056,50199,GENETS,50530,50
6057,12260,SAUCLIERES,12230,12
6058,54510,SORNEVILLE,54280,54
6059,70192,CUGNEY,70700,70
6060,11313,RICAUD,11400,11
6061,14534,REUX,14130,14
6062,53155,MONTENAY,53500,53
6063,32312,PESSAN,32550,32
6064,57593,RONCOURT,57860,57
6065,81073,CRESPINET,81350,81
6066,31354,MONESTROL,31560,31
6067,19099,LAGLEYGEOLLE,19500,19
6068,88473,TIGNECOURT,88320,88
6069,91691,YERRES,91330,91
6070,89384,SENAN,89710,89
6071,26278,LA ROCHE SUR LE BUIS,26170,26
6072,62630,NOYELLE VION,62810,62
6073,10212,MACHY,10320,10
6074,62641,OSTREVILLE,62130,62
6075,66073,ESTOHER,66320,66
6076,07297,ST SYLVESTRE,07440,07
6077,65476,VILLENAVE PRES BEARN,65500,65
6078,25405,MONTPERREUX,25160,25
6079,76605,STE MARGUERITE SUR MER,76119,76
6080,49048,BRIOLLAY,49125,49
6081,59116,BRY,59144,59
6082,11016,ARQUETTES EN VAL,11220,11
6083,80148,BUIGNY LES GAMACHES,80220,80
6084,51022,AULNAY L AITRE,51240,51
6085,07172,PEAUGRES,07340,07
6086,37263,TRUYES,37320,37
6087,65201,GEU,65100,65
6088,77220,GUERCHEVILLE,77760,77
6089,33365,ST AIGNAN,33126,33
6090,21091,BOUHEY,21360,21
6091,24491,ST RABIER,24210,24
6092,54052,BATTIGNY,54115,54
6093,37075,CIGOGNE,37310,37
6094,41049,CHEMERY,41700,41
6095,33354,RIOCAUD,33220,33
6096,92004,ASNIERES SUR SEINE,92600,92
6097,25039,AVOUDREY,25690,25
6098,57541,PHILIPPSBOURG,57230,57
6099,51472,ST AMAND SUR FION,51300,51
6100,80325,FONTAINE LES CAPPY,80340,80
6101,62250,COURRIERES,62710,62
6102,80553,MOLLIENS AU BOIS,80260,80
6103,63124,COURNON D AUVERGNE,63800,63
6104,76029,AUBERMESNIL AUX ERABLES,76340,76
6105,68069,DESSENHEIM,68600,68
6106,63170,LA GOUTELLE,63230,63
6107,08074,BOUCONVILLE,08250,08
6108,2B289,SOVERIA,20250,2B
6109,76618,PETIT CAUX,76370,76
6110,43187,ST GENEYS PRES ST PAULIEN,43350,43
6111,05139,LE DEVOLUY,05250,05
6112,03269,SAUVAGNY,03430,03
6113,86250,SAIX,86120,86
6114,51009,ANGLURE,51260,51
6115,59333,LAROUILLIES,59219,59
